index<TAB>primary_category<TAB>all_categories<TAB>caption<TAB>hashtags<TAB>video_url
257	jjk	jjk	Decided to hope on the trend since everyone is doing it. Ib:@† #edit #viral #tiktok #newbieditzz #fyp #jjk #gojo #sukuna #todo	#edit #viral #tiktok #newbieditzz #fyp #jjk #gojo #sukuna #todo	https://www.tiktok.com/@.the_newbie/video/7277469990914198790
278	naruto_boruto	naruto_boruto|jjk	Replying to @vslurp Sukuna's long lost brother😹😹🙏 #edit #newbieditzz #fyp #viral #borutotimeskip #borutotwobluevortex #borutomanga #borutoedits #boruto #code #daemon	#edit #newbieditzz #fyp #viral #borutotimeskip #borutotwobluevortex #borutomanga #borutoedits #boruto #code #daemon	https://www.tiktok.com/@.the_newbie/video/7271242042041208070
304	jjk	jjk	Jjk fans invest in tis🙏 #newbieditzz #fyp #viral #newbieditzz #animeedit #anime #jjk #yuji	#newbieditzz #fyp #viral #animeedit #anime #jjk #yuji	https://www.tiktok.com/@.the_newbie/video/7264718535027543302
307	jjk	jjk	2 goats #anime #animeedit #jjk #jjkedit #yuji #maki #viral #fyp #newbieditzz	#anime #animeedit #jjk #jjkedit #yuji #maki #viral #fyp #newbieditzz	https://www.tiktok.com/@.the_newbie/video/7263830485938277638
317	jjk	jjk|jujutsu_kaisen	"Throughout the heaven and the earth i alone am the honored one"#animecontent #edit #newbieditzz #viral #foryou #animeedit #jjk #foryou #gojo #jujustukaisen	#animecontent #edit #newbieditzz #viral #foryou #animeedit #jjk #gojo #jujustukaisen	https://www.tiktok.com/@.the_newbie/video/7260879186859117829
318	jjk	jjk	Himothy #gojo #jjk #jjk #animeedit #foryou #viral #newbieditzz #edit #animecontent	#gojo #jjk #animeedit #foryou #viral #newbieditzz #edit #animecontent	https://www.tiktok.com/@.the_newbie/video/7260781087864016134
319	jjk	jjk	Ngl this shi is mid☠️ #newbieditzz #viral #foryou #animeedit #jjk #gojo #sukuna	#newbieditzz #viral #foryou #animeedit #jjk #gojo #sukuna	https://www.tiktok.com/@.the_newbie/video/7260454192790195461
332	jjk	jjk	Yuta Solos #foryou #viral #edit #manga #animeedit #animecontent #anime #jjk #yuta	#foryou #viral #edit #manga #animeedit #animecontent #anime #jjk #yuta	https://www.tiktok.com/@.the_newbie/video/7256349370021465350
342	jjk	jjk|jujutsu_kaisen	Maki bout to get one tapped #animeedit #anime #newbieditzz #fyp #viral #foryou #jujustukaisen #yuta	#animeedit #anime #newbieditzz #fyp #viral #foryou #jujustukaisen #yuta	https://www.tiktok.com/@.the_newbie/video/7253435779555298566

1104	jjk	jjk	#toji #tojifushiguro #jujutsukaisen #anime #animeedit	#toji #tojifushiguro #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7598241561243159826
1105	jjk	jjk	#tojifushiguro #maki #jujutsukaisen #anime #mangaedit	#tojifushiguro #maki #jujutsukaisen #anime #mangaedit	https://www.tiktok.com/@_rayto/video/7598227054395444498
1131	jjk	jjk	#toji #tojifushiguro #jujutsukaisen #anime #mangaedit	#toji #tojifushiguro #jujutsukaisen #anime #mangaedit	https://www.tiktok.com/@_rayto/video/7595633345397099783
1893	jjk	jjk	#geto #getosuguru #jujutsukaisen #anime #animeedit	#geto #getosuguru #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7518828222109289746
3038	jjk	jjk	#tojifushiguro #gojousatoru #garou #killua #anime #animeedit	#tojifushiguro #gojousatoru #garou #killua #anime #animeedit	https://www.tiktok.com/@_rayto/video/7380731650101038352
3224	jjk	jjk	2 goats #gojo #gojousatoru #sungjinwoo #sololeveling #jujutsukaisen #...	2 goats #gojo #gojousatoru #sungjinwoo #sololeveling #jujutsukaisen #...	https://www.tiktok.com/@_rayto/video/7333282106946178311
3316	jjk	jjk	#todo ##itadoriyuuji #mahito #jujutsukaisen	#todo ##itadoriyuuji #mahito #jujutsukaisen	https://www.tiktok.com/@_rayto/video/7312505416661994754
3396	jjk	jjk	#sukuna #itadori #jujutsukaisen #anime #animeedit	#sukuna #itadori #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7296916466853760257
3413	jjk	jjk	#toji #tojifushiguro #jujutsukaisen #anime	#toji #tojifushiguro #jujutsukaisen #anime	https://www.tiktok.com/@_rayto/video/7294307560184745234
3492	jjk	jjk	#gojo #gojosatoru #jujutsukaisen #anime #animeedit	#gojo #gojosatoru #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7283195731563891969
3500	jjk	jjk	#gojousatoru #gojo #jujutsukaisen #anime #animeedit	#gojousatoru #gojo #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7281355036129643778
3517	jjk	jjk	#gojousatoru #jogo #jujutsukaisen #anime	#gojousatoru #jogo #jujutsukaisen #anime	https://www.tiktok.com/@_rayto/video/7278770088856145160
3518	jjk	jjk	#itadori #itadoriyuuji #jujutsukaisen #anime #animeedit	#itadori #itadoriyuuji #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7278738145301024001
3545	jjk	jjk	#kokichimuta #kokichi #jujutsukaisen #anime #animeedit	#kokichimuta #kokichi #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7273549596624686343
3546	jjk	jjk	#jujutsukaisen #gojousatoru #itadoriyuuji #sukuna	#jujutsukaisen #gojousatoru #itadoriyuuji #sukuna	https://www.tiktok.com/@_rayto/video/7273529414661475586
3557	jjk	jjk	shibuya soon #jujutsukaisen #itadoriyuuji #gojousatoru #megumi	shibuya soon #jujutsukaisen #itadoriyuuji #gojousatoru #megumi	https://www.tiktok.com/@_rayto/video/7270925700008332546
3599	jjk	jjk	#megumifushiguro #tojifushiguro #jujutsukaisen #anime #animeedit	#megumifushiguro #tojifushiguro #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7263838745944804609
3601	jjk	jjk	#megumi #megumifushiguro #gojousatoru #jujutsukaisen #animeedit	#megumi #megumifushiguro #gojousatoru #jujutsukaisen #animeedit	https://www.tiktok.com/@_rayto/video/7263150074677529857
3602	jjk	jjk	#gojo #gojousatoru #jujutsukaisen #anime #animeedit #fypシ	#gojo #gojousatoru #jujutsukaisen #anime #animeedit #fypシ	https://www.tiktok.com/@_rayto/video/7263139578607979778
3611	jjk	jjk	#gojousatoru #tojifushiguro #jujutsukaisen #anime #animeedit	#gojousatoru #tojifushiguro #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7260551674341772546
3622	jjk	jjk	#gojousatoru #tojifushiguro #jujutsukaisen #anime #animeedit	#gojousatoru #tojifushiguro #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7257974573960858887
3769	jjk	jjk	#yuta #yutaokkotsu #jujutsukaisen #animeedit	#yuta #yutaokkotsu #jujutsukaisen #animeedit	https://www.tiktok.com/@_rayto/video/7145832604988738818
182	mixed_naruto_jjk	naruto_boruto|jjk	#jujutsukaisen #naruto #demonslayer #anime #animeedit	#jujutsukaisen #naruto #demonslayer #anime #animeedit	https://www.tiktok.com/@_rayto/video/7668675175675743495
903	mixed_naruto_jjk	naruto_boruto|jjk	#naruto #kakashi #jujutsukaisen #anime #animeedit	#naruto #kakashi #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7616693387936206101
918	mixed_naruto_jjk	naruto_boruto|jjk	Naruto>yuji #naruto #narutouzumaki #anime #animeedit #mangaedit	Naruto>yuji #naruto #narutouzumaki #anime #animeedit #mangaedit	https://www.tiktok.com/@_rayto/video/7615609849870601480
1088	mixed_naruto_jjk	naruto_boruto|jjk	#itachi #itachiuchiha #maki #naruto #animeedit	#itachi #itachiuchiha #maki #naruto #animeedit	https://www.tiktok.com/@_rayto/video/7600090352313175304
1098	mixed_naruto_jjk	naruto_boruto|jjk	#jiraiya #maki #naruto #jujutsukaisen #animeedit	#jiraiya #maki #naruto #jujutsukaisen #animeedit	https://www.tiktok.com/@_rayto/video/7598635462219140370
1316	mixed_naruto_jjk	naruto_boruto|jjk	#naruto x #jujutsukaisen #anime #animeedit	#naruto x #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7574887634103848210
1471	mixed_naruto_jjk	naruto_boruto|jjk	#sasuke #gojo #naruto #anime #animeedit	#sasuke #gojo #naruto #anime #animeedit	https://www.tiktok.com/@_rayto/video/7561869398491794706
1516	mixed_naruto_jjk	naruto_boruto|jjk	#sasuke #sasukeuchiha #itadori #naruto #animeedit	#sasuke #sasukeuchiha #itadori #naruto #animeedit	https://www.tiktok.com/@_rayto/video/7558222581938146578
2996	mixed_naruto_jjk	naruto_boruto|jjk	Who is stronger? #kakashi #gojousatoru #anime #animeedit	Who is stronger? #kakashi #gojousatoru #anime #animeedit	https://www.tiktok.com/@_rayto/video/7390007587414035730
3082	mixed_naruto_jjk	naruto_boruto|jjk	naruto kaisen 2.0 #naruto #jujutsukaisen #gojousatoru #kakashi #anime...	naruto kaisen 2.0 #naruto #jujutsukaisen #gojousatoru #kakashi #anime...	https://www.tiktok.com/@_rayto/video/7369590840697638151
3083	mixed_naruto_jjk	naruto_boruto|jjk	#naruto #jujutsukaisen #anime #animeedit	#naruto #jujutsukaisen #anime #animeedit	https://www.tiktok.com/@_rayto/video/7369259382569192722
3272	mixed_naruto_jjk	naruto_boruto|jjk	#sasuke #sasukeuchiha #gojo #gojousatoru #jujutsukaisen #naruto #ani...	#sasuke #sasukeuchiha #gojo #gojousatoru #jujutsukaisen #naruto #ani...	https://www.tiktok.com/@_rayto/video/7322451809363053825
3304	mixed_naruto_jjk	naruto_boruto|jjk	Uzumaki #jujutsukaisen #naruto #uzumaki #anime #animeedit	Uzumaki #jujutsukaisen #naruto #uzumaki #anime #animeedit	https://www.tiktok.com/@_rayto/video/7315186239878057217
